Test Accuracy,Trial ID
89.28571343421936%,dvgyk
91.42857193946838%,Ux0o4
87.85714507102966%,zmzbM
15.000000596046448%,oYtDJ
13.571429252624512%,PpDio
15.714286267757416%,Vt230
75.0%,FLwpf
14.28571492433548%,MEVfk
77.85714268684387%,VBeLS
75.0%,zDN2b
88.57142925262451%,d52dK
81.42856955528259%,OmWUG
76.42857432365417%,PXwP9
86.42857074737549%,r2pJm
15.714286267757416%,S40Ps
83.57142806053162%,qVGYK
93.57143044471741%,FeixE
88.57142925262451%,SNfGo
78.57142686843872%,lILLY
87.14285492897034%,Enarx
90.71428775787354%,iIHqV
89.28571343421936%,QHB4Z
76.42857432365417%,RLRma
91.42857193946838%,vvSU6
89.28571343421936%,c3TsJ
88.57142925262451%,bJUrs
75.71428418159485%,mKKkh
90.71428775787354%,Al6Yf
77.14285850524902%,FOwkA
82.85714387893677%,Klj7z
74.28571581840515%,TfeCt
80.0000011920929%,nY0ce
76.42857432365417%,NKg8a
90.71428775787354%,WCBZV
87.85714507102966%,K2zsD
90.71428775787354%,getL9
97.14285731315613%,VvPPI
93.57143044471741%,aQdoq
84.28571224212646%,N0RQM
89.28571343421936%,Sg7lR
89.99999761581421%,w0nsi
74.28571581840515%,TEPaz
92.14285612106323%,Tv2rp
80.71428537368774%,qEuQW
88.57142925262451%,hnRLF
85.00000238418579%,pLk1Y
95.71428298950195%,EOKd1
89.28571343421936%,FVqrU
89.28571343421936%,hI7Wg
94.28571462631226%,fGhyG
90.71428775787354%,h8XJS
89.99999761581421%,YCu5g
78.57142686843872%,tilDy
69.28571462631226%,zOvdG
92.85714030265808%,yuYpK
91.42857193946838%,XvpMV
89.99999761581421%,W4ASx
88.57142925262451%,UKeAU
87.14285492897034%,Ks27d
92.14285612106323%,zzCCZ
89.28571343421936%,CYyXC
93.57143044471741%,EAHV9
85.71428656578064%,kQmcY
89.99999761581421%,oqzcH
85.00000238418579%,R4uqp
89.28571343421936%,FA7Ay
93.57143044471741%,iJSPn
83.57142806053162%,P1JMd
90.71428775787354%,L9ert
78.57142686843872%,McIkU
88.57142925262451%,cxxRf
94.28571462631226%,NO4Y2
94.28571462631226%,ovx7h
92.14285612106323%,dFecS
92.14285612106323%,j3wOq
83.57142806053162%,pLT4B
84.28571224212646%,w5MMz
93.57143044471741%,AAmQW
85.00000238418579%,S41th
92.14285612106323%,FhD2e
81.42856955528259%,K8s8W
79.28571701049805%,Crdxq
93.57143044471741%,y08hG
85.71428656578064%,ocQW8
89.28571343421936%,IhXgQ
89.28571343421936%,Kl0He
90.71428775787354%,BX3fX
15.000000596046448%,Ntuva
14.28571492433548%,V8Y8S
13.571429252624512%,CuSpI
74.28571581840515%,hySuu
81.42856955528259%,SuIti
74.28571581840515%,eXcqn
82.14285969734192%,IDDkR
77.14285850524902%,ZZIAT
80.0000011920929%,jpzin
87.14285492897034%,UMIsS
79.28571701049805%,dZm81
82.85714387893677%,iJMC3
80.0000011920929%,gOdWF
80.71428537368774%,XpnFk
87.14285492897034%,ddpwC
75.0%,Ahpcj
91.42857193946838%,T9x9y
91.42857193946838%,xs5zA
72.14285731315613%,Z5VPt
87.85714507102966%,NYjNM
90.71428775787354%,Breqt
72.14285731315613%,Q8ZZB
92.85714030265808%,dAC0y
89.28571343421936%,XXqWu
91.42857193946838%,MKij5
89.28571343421936%,Tq2dq
91.42857193946838%,rh37k
77.85714268684387%,xA2OF
85.71428656578064%,nxEhx
85.71428656578064%,FkaXn
89.99999761581421%,vEYyi
84.28571224212646%,L3xWN
87.14285492897034%,k4h01
90.71428775787354%,tfQm9
93.57143044471741%,CrCrS
76.42857432365417%,gUg9f
89.99999761581421%,B76Zf
89.28571343421936%,Fw8SJ
80.71428537368774%,BHEEc
82.85714387893677%,OnR3d
91.42857193946838%,pKjZE
82.14285969734192%,vY3Ko
89.28571343421936%,XmX3N
92.14285612106323%,nXMf3
91.42857193946838%,iORTT
77.85714268684387%,ZLRRG
82.14285969734192%,XFG6g
95.71428298950195%,AQ25s
92.85714030265808%,ImAcz
83.57142806053162%,fZ7sg
93.57143044471741%,bAlSs
92.14285612106323%,LbSxl
90.71428775787354%,VmOky
92.14285612106323%,LO31c
92.14285612106323%,UMy46
91.42857193946838%,h82ep
85.71428656578064%,WeRRm
93.57143044471741%,G259C
84.28571224212646%,MyjAu
90.71428775787354%,Y5gNR
83.57142806053162%,hPrMd
90.71428775787354%,JFX1r
92.85714030265808%,imNyi
93.57143044471741%,fx7V6
17.142857611179352%,Xgh3a
14.28571492433548%,hXq2D
14.28571492433548%,lnCsZ
14.28571492433548%,sEw3t
92.85714030265808%,oNfIu
79.28571701049805%,IxiQU
14.28571492433548%,wfMcC
80.71428537368774%,GiLJj
77.14285850524902%,ThQCy
82.85714387893677%,c0XAf
74.28571581840515%,kNFoq
77.85714268684387%,RlRBC
79.28571701049805%,L7s2q
83.57142806053162%,wD925
94.9999988079071%,ZDQw3
14.28571492433548%,nolQH
83.57142806053162%,MfVr2
87.85714507102966%,qC1t6
81.42856955528259%,i6Nje
89.28571343421936%,Nexks
80.71428537368774%,G0AEt
88.57142925262451%,zK8yo
77.85714268684387%,aiA3P
93.57143044471741%,tdDjS
89.28571343421936%,i4S7N
75.71428418159485%,WnHqO
92.85714030265808%,rrV0U
85.71428656578064%,qTgVv
85.71428656578064%,M9sbq
14.28571492433548%,pMXF3
92.85714030265808%,yiuQ9
90.71428775787354%,EDee1
94.28571462631226%,NMmUE
73.57142567634583%,zZZm5
94.28571462631226%,Dih2n
89.28571343421936%,vTZEl
89.28571343421936%,DBQzN
86.42857074737549%,BmBIb
81.42856955528259%,yLFQk
77.85714268684387%,EBOQM
84.28571224212646%,wQcfS
87.85714507102966%,NfXaQ
85.00000238418579%,oilCA
92.14285612106323%,CpwMs
82.14285969734192%,tx0DT
90.71428775787354%,V8chU
75.0%,hLrnm
75.71428418159485%,OGk0D
94.28571462631226%,b9GTc
80.0000011920929%,GeKBy
85.00000238418579%,tigE9
92.85714030265808%,R7L1x
78.57142686843872%,DYSSF
93.57143044471741%,iSDtv
91.42857193946838%,Q7Rsp
93.57143044471741%,qWKmk
92.85714030265808%,i1Ojn
92.14285612106323%,VsyNX
87.14285492897034%,eihcQ
90.71428775787354%,qdtgd
86.42857074737549%,XBKIE
84.28571224212646%,vTw4h
93.57143044471741%,uTdfk
89.28571343421936%,Tq2qd
92.14285612106323%,FQxJr
92.14285612106323%,JIgD7
89.28571343421936%,wvY5f
92.85714030265808%,VRMF7
14.28571492433548%,s5IGU
93.57143044471741%,L3SOb
92.14285612106323%,IXNNU
14.28571492433548%,wJPUl
89.99999761581421%,Cc4GU
88.57142925262451%,MQbdF
94.28571462631226%,Udn32
12.857143580913544%,uwfYA
14.28571492433548%,k4xkZ
14.28571492433548%,wreir
14.28571492433548%,y0nIx
92.85714030265808%,mR3ew
15.000000596046448%,ndo9l
95.71428298950195%,yyS2F
94.28571462631226%,W5R4O
92.14285612106323%,ke0i4
27.142858505249023%,slWYD
15.000000596046448%,xnIIi
14.28571492433548%,JlA5a
93.57143044471741%,tRpHU
92.85714030265808%,Ra1el
14.28571492433548%,c0vmm
14.28571492433548%,rgDkC
92.85714030265808%,r2qYb
14.28571492433548%,rmMuo
14.28571492433548%,GBl3n
91.42857193946838%,PWPAy
12.857143580913544%,Php66
13.571429252624512%,WHrJy
88.57142925262451%,O1VlP
15.000000596046448%,fYUAO
18.571428954601288%,Dim9i
14.28571492433548%,Sz6CA
