Test Accuracy,Trial ID
84.28571224212646%,f7D6b
89.99999761581421%,wg0dx
89.28571343421936%,jwNXv
85.71428656578064%,C4Hqm
14.28571492433548%,XD7RV
14.28571492433548%,l6x2f
17.85714328289032%,IZ7tF
89.28571343421936%,j6DWA
92.14285612106323%,y5etp
88.57142925262451%,pqe4j
90.71428775787354%,lUH6e
94.9999988079071%,g7qH6
90.71428775787354%,Oa7DA
92.14285612106323%,a3et5
89.28571343421936%,o5DWB
90.71428775787354%,gkyQj
91.42857193946838%,DZ2Ky
89.28571343421936%,wcXpx
93.57143044471741%,vGbLE
89.99999761581421%,htKO4
92.14285612106323%,ftzWT
85.71428656578064%,BnoqB
89.99999761581421%,MwFxK
92.85714030265808%,wmBJV
94.9999988079071%,R7TQU
89.28571343421936%,QMAwS
14.28571492433548%,Huui9
91.42857193946838%,aSJ5Y
89.99999761581421%,OCraJ
89.99999761581421%,qpJ2V
86.42857074737549%,UOKDp
89.99999761581421%,loTwy
93.57143044471741%,r4Ui8
92.14285612106323%,mPS8U
94.28571462631226%,uT6l0
92.85714030265808%,f0fqU
94.9999988079071%,Ulu7i
90.71428775787354%,lCVcb
89.28571343421936%,paNTD
94.9999988079071%,XrpZB
89.28571343421936%,tyuqG
93.57143044471741%,J4nAu
91.42857193946838%,FUp1x
92.14285612106323%,dNWha
93.57143044471741%,A3Y3U
92.85714030265808%,GeVtz
92.14285612106323%,yEgkZ
89.28571343421936%,DVULq
89.99999761581421%,zzqJc
91.42857193946838%,nxWIE
21.42857164144516%,d235z
93.57143044471741%,mUZsa
93.57143044471741%,imRbh
94.28571462631226%,rA3hB
89.99999761581421%,Uzx1t
89.99999761581421%,A5caJ
92.14285612106323%,v9j9g
92.14285612106323%,epbKG
88.57142925262451%,OHcuT
92.85714030265808%,QZtrl
93.57143044471741%,eSame
94.9999988079071%,wetkv
90.71428775787354%,Umhnv
89.99999761581421%,PzV8p
92.14285612106323%,qY0qI
89.99999761581421%,dykKc
90.71428775787354%,uEyLy
14.28571492433548%,USV46
14.28571492433548%,NQsdp
19.285714626312256%,zOaE9
14.28571492433548%,XnaVb
91.42857193946838%,JoC4W
14.28571492433548%,M9QeH
14.28571492433548%,wqyUy
14.28571492433548%,OBseL
20.714285969734192%,NLJCZ
89.28571343421936%,u8ndY
14.28571492433548%,rABvz
89.99999761581421%,QGIoL
79.28571701049805%,JhAkA
88.57142925262451%,xy1Oc
75.0%,Nk3wW
92.85714030265808%,tis1m
85.00000238418579%,L7Y6Y
93.57143044471741%,Q90Js
14.28571492433548%,BU8IL
88.57142925262451%,d2OHq
89.99999761581421%,Flya6
87.14285492897034%,ngNyJ
86.42857074737549%,Aittg
85.71428656578064%,tPqPE
92.14285612106323%,dvNA5
85.71428656578064%,hTpnD
86.42857074737549%,R9AdX
85.71428656578064%,bvEPg
90.71428775787354%,SMzbE
89.99999761581421%,iLTCP
85.71428656578064%,yuJcS
91.42857193946838%,XHRBg
85.71428656578064%,veYXU
92.85714030265808%,XMxOd
92.85714030265808%,y94qR
91.42857193946838%,COtG6
92.85714030265808%,C2bUO
91.42857193946838%,nzgpt
88.57142925262451%,fQnkp
89.99999761581421%,UkOoT
84.28571224212646%,eknOm
94.9999988079071%,aAVWu
93.57143044471741%,UvtvJ
86.42857074737549%,rxtMq
89.28571343421936%,nD2FK
93.57143044471741%,ntbTY
87.85714507102966%,XWgEj
86.42857074737549%,hf9ex
91.42857193946838%,RMQqY
88.57142925262451%,Ed6Z2
91.42857193946838%,CAx7B
86.42857074737549%,pUMld
87.85714507102966%,ORVVI
86.42857074737549%,N55WZ
87.85714507102966%,c9lZf
89.28571343421936%,Zq5jG
90.71428775787354%,EFQ7E
87.14285492897034%,IrOnz
90.71428775787354%,e4VZm
88.57142925262451%,qE0UQ
89.99999761581421%,RY4VY
89.28571343421936%,N0ln3
89.28571343421936%,LGHjX
87.85714507102966%,q1GuQ
87.14285492897034%,ntAOt
90.71428775787354%,O62nz
88.57142925262451%,eR81B
92.85714030265808%,JAOK9
89.28571343421936%,ZE37r
89.28571343421936%,nch94
89.28571343421936%,T9nxb
92.85714030265808%,ZIxWi
92.85714030265808%,Z1v0O
89.99999761581421%,xJDtu
93.57143044471741%,RlXXp
88.57142925262451%,a4xZS
89.99999761581421%,MBnGl
88.57142925262451%,bfptm
81.42856955528259%,fFqqV
92.14285612106323%,pRLni
14.28571492433548%,P74K7
87.14285492897034%,J9Gs3
89.99999761581421%,VDMg0
87.14285492897034%,iEKTt
92.14285612106323%,rG5o4
89.99999761581421%,wRz3C
92.14285612106323%,it6gX
89.99999761581421%,mgLhD
89.28571343421936%,tX2Ux
89.28571343421936%,aYwg6
91.42857193946838%,Mj70s
92.85714030265808%,KLABu
88.57142925262451%,S0Rld
85.71428656578064%,IJbGx
89.99999761581421%,rcxNm
92.14285612106323%,JK1Pk
89.99999761581421%,vFPii
91.42857193946838%,GzBTu
85.71428656578064%,m3yOW
89.99999761581421%,ILfhV
86.42857074737549%,mHwEE
91.42857193946838%,C7wVV
92.85714030265808%,GnF26
83.57142806053162%,G4XPo
89.99999761581421%,ehR78
89.28571343421936%,BE6pQ
90.71428775787354%,uyJrC
91.42857193946838%,QGpL6
89.99999761581421%,CMoki
91.42857193946838%,G6V4a
85.00000238418579%,s85aU
92.85714030265808%,W5Uox
88.57142925262451%,wYz6g
89.28571343421936%,y0wAD
87.85714507102966%,y0ogi
87.14285492897034%,ED2cR
87.85714507102966%,futBg
87.85714507102966%,qDtLb
87.85714507102966%,wGdA1
87.85714507102966%,nkNMU
90.71428775787354%,tXSl3
80.71428537368774%,i31IN
14.28571492433548%,gpZxV
88.57142925262451%,Waxei
88.57142925262451%,ExVgU
91.42857193946838%,aKQSG
87.14285492897034%,zg4OY
87.85714507102966%,nLt27
91.42857193946838%,JQK9p
86.42857074737549%,fWX0h
90.71428775787354%,pyT88
88.57142925262451%,a6lxX
87.14285492897034%,G6i3i
89.28571343421936%,kdLJT
13.571429252624512%,MysPs
90.71428775787354%,XQD8H
14.28571492433548%,jntXv
12.857143580913544%,Y2m7d
14.28571492433548%,seYWS
85.71428656578064%,CYcai
86.42857074737549%,hampM
14.28571492433548%,OSb1a
15.000000596046448%,kF5eG
79.28571701049805%,meKIO
79.28571701049805%,Nm5IL
86.42857074737549%,Ag4uA
82.85714387893677%,IaJ0n
88.57142925262451%,FlvUl
88.57142925262451%,N5yLc
90.71428775787354%,qvlR6
85.71428656578064%,ruXOt
95.71428298950195%,gPatD
89.28571343421936%,CeY0u
91.42857193946838%,bfmt7
89.99999761581421%,SODYj
82.14285969734192%,kCUqf
92.14285612106323%,MWoKF
92.85714030265808%,twPKT
84.28571224212646%,GzdSq
88.57142925262451%,tNDsc
14.28571492433548%,uMFdS
92.85714030265808%,oRJRF
86.42857074737549%,yPnLC
94.28571462631226%,jBuIy
87.85714507102966%,Dm73K
87.85714507102966%,sW2D3
85.00000238418579%,LmWyA
92.14285612106323%,hErww
92.85714030265808%,cLRj5
94.28571462631226%,bK11b
94.9999988079071%,gJ4eM
87.14285492897034%,UbXsB
95.71428298950195%,UOJEm
94.9999988079071%,RfDAn
87.85714507102966%,ARLnv
88.57142925262451%,Xmv8D
93.57143044471741%,SARCj
92.85714030265808%,XGczt
82.85714387893677%,bxDqm
87.85714507102966%,ytlEe
92.85714030265808%,BGbpe
92.85714030265808%,b0DHA
80.0000011920929%,XDMAM
89.99999761581421%,kH9v8
88.57142925262451%,MbEQ5
90.71428775787354%,Mk18E
89.99999761581421%,OVodA
95.71428298950195%,yKcRp
90.71428775787354%,UjxNd
89.99999761581421%,LDZRf
87.14285492897034%,Y85fl
93.57143044471741%,AVKMm
86.42857074737549%,vK7xs
87.14285492897034%,XXgg9
90.71428775787354%,sdKqI
87.85714507102966%,zs5D0
89.99999761581421%,ativo
92.85714030265808%,lJ4zJ
89.28571343421936%,OKhzV
92.14285612106323%,n38gP
86.42857074737549%,umKVW
88.57142925262451%,fC5zy
82.85714387893677%,McFTG
89.99999761581421%,MQnOv
84.28571224212646%,qrcVn
90.71428775787354%,OsnGK
88.57142925262451%,ZiBYb
82.14285969734192%,zCbr0
86.42857074737549%,GCV5m
90.71428775787354%,w3F5P
86.42857074737549%,QgE1Q
89.99999761581421%,vvICi
86.42857074737549%,QP2RQ
77.14285850524902%,Onqid
91.42857193946838%,hoTak
94.9999988079071%,Je1T2
85.00000238418579%,lT0Cc
83.57142806053162%,AqXyz
88.57142925262451%,oynpC
90.71428775787354%,kBeT8
94.9999988079071%,ivDOs
87.14285492897034%,raKik
93.57143044471741%,WuDvz
89.28571343421936%,klz17
92.85714030265808%,nIOMv
86.42857074737549%,Wkqj9
87.85714507102966%,Ohhhd
94.28571462631226%,RLc1H
94.28571462631226%,TutVV
93.57143044471741%,kldTp
87.85714507102966%,PElPb
87.14285492897034%,UMjdT
89.28571343421936%,zidvE
89.28571343421936%,ahuJR
91.42857193946838%,Z0Xta
89.99999761581421%,tZiGC
93.57143044471741%,UJAQ2
94.28571462631226%,AVI6r
92.14285612106323%,BlAPE
91.42857193946838%,CPky7
89.99999761581421%,AwOiW
91.42857193946838%,SdGKO
14.28571492433548%,mTsso
87.85714507102966%,Sewvz
14.28571492433548%,ARG0Q
44.285714626312256%,IB9wA
88.57142925262451%,bPCig
75.71428418159485%,ELYEM
14.28571492433548%,nibf9
87.14285492897034%,qJug5
94.28571462631226%,niBTC
20.000000298023224%,SFP7u
86.42857074737549%,ZBLIa
83.57142806053162%,zmR9p
87.14285492897034%,bB5q0
88.57142925262451%,U5o9T
92.85714030265808%,Z0m5V
91.42857193946838%,UOjpM
92.85714030265808%,VwnGO
86.42857074737549%,VCbFz
94.28571462631226%,yecbX
90.71428775787354%,TAzxn
86.42857074737549%,CTSD9
89.28571343421936%,Ujano
93.57143044471741%,obxGi
14.28571492433548%,B182h
88.57142925262451%,fuxO2
90.71428775787354%,Zg4Vz
89.99999761581421%,WBrHJ
90.71428775787354%,F6Eb1
92.85714030265808%,Dh38g
85.00000238418579%,uEcMd
90.71428775787354%,lqA4r
90.71428775787354%,ICBy3
88.57142925262451%,NibIo
84.28571224212646%,WPVNf
85.00000238418579%,XprkP
92.14285612106323%,VoMsF
94.28571462631226%,REPXv
90.71428775787354%,ebsCm
90.71428775787354%,QND4U
92.14285612106323%,WIgWD
92.14285612106323%,GpqlP
87.14285492897034%,ZUmFN
88.57142925262451%,vrLPe
91.42857193946838%,ZFClr
92.85714030265808%,glmHk
88.57142925262451%,Aqgfk
94.9999988079071%,cgR7I
43.57142746448517%,B489t
89.99999761581421%,DqaXJ
81.42856955528259%,kOxxw
87.85714507102966%,we930
89.28571343421936%,iF9xl
89.28571343421936%,xGs41
91.42857193946838%,FbLOo
90.71428775787354%,wQCyK
91.42857193946838%,fyvnm
92.14285612106323%,QUDEU
92.85714030265808%,ohEzu
87.14285492897034%,C0mY5
93.57143044471741%,uI9tm
91.42857193946838%,A1fjU
89.99999761581421%,DUxZG
84.28571224212646%,VxFWk
81.42856955528259%,FCLwc
92.14285612106323%,fhr4d
87.85714507102966%,HchHH
93.57143044471741%,OZv9m
77.85714268684387%,Bkpmx
89.99999761581421%,SfZ66
92.85714030265808%,OB9GZ
92.85714030265808%,FAdOs
92.14285612106323%,v2B9h
86.42857074737549%,Bfsj2
92.85714030265808%,Viy21
92.85714030265808%,PJjUg
86.42857074737549%,KSyBd
90.71428775787354%,FADpU
94.9999988079071%,UINNl
84.28571224212646%,fw3pX
92.14285612106323%,ljNqj
89.99999761581421%,Aupsy
90.71428775787354%,HQzy7
85.00000238418579%,LTZlL
84.28571224212646%,rVbE8
92.85714030265808%,AHx3O
87.14285492897034%,mRiCe
89.28571343421936%,VwYox
86.42857074737549%,G29mn
89.28571343421936%,kWexz
94.28571462631226%,iIJcc
92.14285612106323%,dwPy6
94.28571462631226%,g5qpN
88.57142925262451%,ipDdV
89.28571343421936%,VGPvU
94.9999988079071%,gGCXW
83.57142806053162%,Eo071
95.71428298950195%,nTimq
90.71428775787354%,pBAfI
92.85714030265808%,gfYjN
92.14285612106323%,ujsGS
88.57142925262451%,vWaCZ
88.57142925262451%,pm71v
93.57143044471741%,Vyz94
91.42857193946838%,EqxrU
87.14285492897034%,sY587
92.14285612106323%,y6OhO
92.85714030265808%,JJA42
89.99999761581421%,bXSty
87.85714507102966%,T9vry
92.14285612106323%,hAXZa
90.71428775787354%,uSyfY
90.71428775787354%,IrSdl
85.71428656578064%,g95Pl
91.42857193946838%,DCMgE
87.85714507102966%,xd0GF
14.28571492433548%,P5SKr
14.28571492433548%,E6nFf
14.28571492433548%,PAAEw
17.142857611179352%,MU22s
89.28571343421936%,XTewe
12.857143580913544%,Ezu1A
89.28571343421936%,eMSQd
90.71428775787354%,UbFBH
14.28571492433548%,d34fR
20.000000298023224%,JyEFl
94.28571462631226%,oGzlO
89.28571343421936%,OvEdu
88.57142925262451%,SX3qu
73.57142567634583%,NPwBd
85.71428656578064%,KrT0y
91.42857193946838%,s5rUG
93.57143044471741%,tYukF
92.85714030265808%,hk7lA
89.99999761581421%,vdG35
14.28571492433548%,S8fcA
85.00000238418579%,oZ3Mw
14.28571492433548%,eXuz2
86.42857074737549%,iD8dM
80.0000011920929%,o6b36
80.0000011920929%,IQ6SO
88.57142925262451%,D4ilb
88.57142925262451%,POO7g
15.000000596046448%,Yc5Bo
14.28571492433548%,A7Ngc
89.28571343421936%,lTCnn
17.142857611179352%,VO1oI
87.14285492897034%,MUkxI
93.57143044471741%,vjApK
84.28571224212646%,nY29s
86.42857074737549%,JF6b4
92.85714030265808%,Jgav1
13.571429252624512%,rDBSM
84.28571224212646%,IgkdB
89.99999761581421%,SgDPw
90.71428775787354%,jC2e0
88.57142925262451%,akVjJ
88.57142925262451%,thWb7
89.28571343421936%,huhwI
92.14285612106323%,OBreE
87.85714507102966%,h9YVy
90.71428775787354%,mYD3l
17.142857611179352%,Si2lr
87.85714507102966%,MJwTJ
19.285714626312256%,lTSkF
91.42857193946838%,zSdQa
92.14285612106323%,egR3y
92.14285612106323%,j1dUs
89.99999761581421%,v8YWV
89.99999761581421%,KTUzF
93.57143044471741%,SemI4
83.57142806053162%,jSvQC
85.00000238418579%,VkmEG
91.42857193946838%,ejgiJ
91.42857193946838%,d5GhI
85.00000238418579%,fWqid
14.28571492433548%,vyk2a
89.99999761581421%,dbW0P
90.71428775787354%,MlCPB
87.14285492897034%,cMbU1
90.71428775787354%,k1qHJ
92.85714030265808%,scIpV
92.14285612106323%,Bvy7l
90.71428775787354%,kuWlI
91.42857193946838%,D3g2B
14.28571492433548%,O4tYc
14.28571492433548%,yCCYy
64.99999761581421%,WIAXM
14.28571492433548%,l68xd
14.28571492433548%,uhZGy
14.28571492433548%,wrZCa
14.28571492433548%,uZm9h
14.28571492433548%,S0RJi
62.14285492897034%,e33q3
14.28571492433548%,sp4Mz
79.28571701049805%,Bk6hF
