Test Accuracy,Trial ID
70.74074149131775%,jNyFq
79.81481552124023%,bvhcO
69.25926208496094%,U4h2J
63.333332538604736%,P74Oo
81.85185194015503%,qHG6s
80.74073791503906%,uZrLt
76.11111402511597%,unjRk
74.25925731658936%,YviMs
81.66666626930237%,BaRzF
79.62962985038757%,Nh3RO
12.777778506278992%,QqfIG
76.66666507720947%,O85uf
80.92592358589172%,UMsOo
81.4814805984497%,fuDaV
83.5185170173645%,QkbXX
64.07407522201538%,rRwQg
82.77778029441833%,rZB6X
81.85185194015503%,XfonK
78.33333611488342%,v93KD
79.44444417953491%,bIZJF
77.77777910232544%,jAYnF
80.74073791503906%,Zqc9r
81.85185194015503%,ulqdZ
77.40740776062012%,eb1Ff
81.85185194015503%,JBiNN
81.11110925674438%,cm8Kn
82.59259462356567%,lutPK
81.66666626930237%,PheRv
77.59259343147278%,aesg8
77.0370364189148%,rfLry
83.14814567565918%,c5rvu
69.44444179534912%,ajuUo
82.40740895271301%,tj5Qq
84.62963104248047%,Y9sSX
80.74073791503906%,AAUGw
81.11110925674438%,Sgy4p
81.29629492759705%,OSGEX
80.18518686294556%,WLW5G
81.66666626930237%,GvSf3
81.29629492759705%,y2DUm
80.92592358589172%,hEUg6
83.70370268821716%,pZmxR
79.25925850868225%,sdWGP
80.37037253379822%,DfBy6
82.96296000480652%,yDC9f
78.14815044403076%,mjPlQ
14.074073731899261%,rUg4K
78.33333611488342%,IQRBa
79.62962985038757%,a7kwU
20.000000298023224%,IVyy4
81.4814805984497%,Ak7KL
82.03703761100769%,b9FXV
4.444444552063942%,PSexa
3.7037037312984467%,eXSVV
79.44444417953491%,mifGU
3.5185184329748154%,TsUmD
82.03703761100769%,LvucA
28.518518805503845%,JLA1T
58.888888359069824%,O2Xjg
3.7037037312984467%,hrHNk
3.888889029622078%,vBoE6
69.44444179534912%,XBCzx
4.074073955416679%,fsftG
42.592594027519226%,OaW7C
43.51851940155029%,fHkts
64.99999761581421%,YPDCw
4.074073955416679%,Yxm3N
64.25926089286804%,vua6r
4.259259253740311%,mq9a4
6.666667014360428%,B1xpu
75.0%,SAkBu
58.888888359069824%,mCYxv
62.40741014480591%,lKGnI
52.77777910232544%,PyFkv
51.66666507720947%,ZFR9I
67.59259104728699%,BdtfH
75.37037134170532%,wo4zk
55.925923585891724%,f6kVG
79.81481552124023%,YWD2c
76.66666507720947%,QnGDp
65.74074029922485%,G2Zdv
69.44444179534912%,kwpee
48.70370328426361%,L6K5q
70.92592716217041%,UHgyK
77.22222208976746%,H0Ukb
61.666667461395264%,fO8Ap
75.0%,iZZij
70.18518447875977%,Ueo38
73.70370626449585%,jpZh2
78.70370149612427%,rAr6f
75.9259283542633%,WiSGO
71.4814841747284%,cIQhH
72.40740656852722%,ZYsRh
77.0370364189148%,gT5at
74.0740716457367%,cQMld
68.14814805984497%,k1vuK
75.37037134170532%,Xiomx
59.62963104248047%,fsWNQ
81.4814805984497%,xxeFK
82.03703761100769%,od7eV
70.37037014961243%,H1nEp
81.29629492759705%,BdtnN
65.55555462837219%,VioWA
