Test Accuracy,Trial ID
53.33333611488342%,Sd9IG
54.25925850868225%,DtLKX
54.62962985038757%,PBRtr
25.740739703178406%,yHTqV
39.07407522201538%,DVF76
43.88888776302338%,Lq4XJ
55.18518686294556%,W7nJc
35.370370745658875%,MbrKe
59.074074029922485%,X0Zs9
43.14814805984497%,TNO3J
53.14815044403076%,X7U25
50.925928354263306%,GOC8V
47.962963581085205%,XL75t
46.11110985279083%,Q7QHa
5.55555559694767%,VR7Id
52.40740776062012%,VQ2eH
44.44444477558136%,uyJHg
43.14814805984497%,gvySv
47.40740656852722%,FUyUg
47.40740656852722%,VZIPL
59.81481671333313%,GBmn1
41.111111640930176%,WmXkK
48.70370328426361%,DFAd4
4.074073955416679%,PlfuB
3.333333507180214%,ijxuI
4.444444552063942%,kq5LV
48.33333194255829%,SqB36
3.1481482088565826%,M55uJ
53.88888716697693%,yozJu
5.55555559694767%,MnUPW
3.7037037312984467%,gRS4a
55.000001192092896%,EcDFt
43.703705072402954%,pq5iU
41.48148000240326%,a6FkF
48.51851761341095%,MUN4A
39.629629254341125%,MMdFM
46.296295523643494%,YNSGx
39.629629254341125%,iigHG
3.7037037312984467%,ap0nl
47.962963581085205%,K7Iwr
47.22222089767456%,ML2sH
3.7037037312984467%,TEPqd
41.29629731178284%,nCZxw
3.7037037312984467%,Nlzsv
45.55555582046509%,TN3uo
41.29629731178284%,xpPcc
52.037036418914795%,lXP8K
42.592594027519226%,Cnl41
41.85185134410858%,cUNqg
3.7037037312984467%,hzwdc
23.70370328426361%,H8Cgr
47.22222089767456%,OwHWZ
55.000001192092896%,qhqW6
3.5185184329748154%,MNStE
3.7037037312984467%,ut8hd
48.51851761341095%,p3Y3l
3.888889029622078%,Z6xqu
4.259259253740311%,DIKBT
4.259259253740311%,Is9Uz
4.629629477858543%,wDIz5
3.5185184329748154%,z5V5O
2.9629629105329514%,KV9gm
3.7037037312984467%,IgfaE
43.51851940155029%,LtQEP
55.37037253379822%,FpcQF
3.7037037312984467%,ZWNpw
4.629629477858543%,w6EZd
4.814814776182175%,UAvxA
3.7037037312984467%,I9r3t
3.333333507180214%,Q1EnE
46.296295523643494%,Nxgak
3.1481482088565826%,MMSdM
46.296295523643494%,XG93W
3.7037037312984467%,XmUj1
62.59258985519409%,RKPN5
31.481480598449707%,dRsBr
36.29629611968994%,vZbTK
48.51851761341095%,zIzLe
3.7037037312984467%,PyCQj
3.888889029622078%,w4Fjn
5.000000074505806%,mB7PQ
3.7037037312984467%,olHcz
28.148147463798523%,Dk3fZ
2.5925925001502037%,zpY6I
4.814814776182175%,Mb4qi
51.11111402511597%,DliSp
56.48148059844971%,sR6Zy
41.85185134410858%,NEtmA
3.7037037312984467%,VzFE1
46.666666865348816%,jlM5L
65.92592597007751%,K9K4s
57.40740895271301%,sjdnr
38.70370388031006%,j1GCf
44.2592591047287%,Xq37Z
40.00000059604645%,V29G3
3.7037037312984467%,SZlVT
37.77777850627899%,fBv0D
14.444445073604584%,bmq9b
45.74074149131775%,rCxCM
3.5185184329748154%,n2m5Z
51.48147940635681%,afXoV
63.88888955116272%,rFHNZ
49.62962865829468%,hgOVv
38.70370388031006%,soTcv
62.40741014480591%,ejhq1
31.85185194015503%,WyGv7
65.37036895751953%,yGALe
64.99999761581421%,qr3HU
67.22221970558167%,WXwGO
41.85185134410858%,qVGpB
49.62962865829468%,fjTz5
57.96296000480652%,vPaRx
54.25925850868225%,xHqbS
44.81481611728668%,v53vM
72.77777791023254%,ivsRX
58.14814567565918%,pggc1
54.62962985038757%,KIpXG
45.55555582046509%,V47Pu
47.22222089767456%,N9zMv
64.99999761581421%,IleM1
4.444444552063942%,fQ7hw
43.703705072402954%,fMrY8
54.25925850868225%,H0Jiv
47.03703820705414%,cSCfd
46.296295523643494%,lfSEY
58.888888359069824%,N3w5P
4.629629477858543%,mO73B
4.259259253740311%,uB8NT
62.77777552604675%,oMovN
55.000001192092896%,CFyPG
59.81481671333313%,kwFug
66.11111164093018%,FYCCF
59.074074029922485%,IOdUE
60.5555534362793%,J614E
55.000001192092896%,UYtM7
51.48147940635681%,O3GvS
47.03703820705414%,QxWpF
53.70370149612427%,UIjxL
70.92592716217041%,zivxj
49.44444298744202%,dDzZw
65.74074029922485%,U85iv
69.07407641410828%,YvQhn
5.185185000300407%,sZ7j5
5.185185000300407%,qbOwD
62.77777552604675%,sraFS
62.77777552604675%,Ojnuu
46.11110985279083%,I23jI
54.25925850868225%,UkEjX
52.037036418914795%,bDzWQ
51.66666507720947%,drgUB
56.48148059844971%,JpIK7
61.4814817905426%,Qiwl2
52.222222089767456%,NG7F4
64.81481194496155%,Cx3GC
70.55555582046509%,ASbag
57.22222328186035%,A2blA
62.77777552604675%,p5QDq
60.18518805503845%,dtMUw
4.259259253740311%,bF77Y
62.962961196899414%,tivjt
74.25925731658936%,pm7aN
63.333332538604736%,kvyhK
54.814815521240234%,k8sli
61.29629611968994%,Qa9Jc
54.814815521240234%,EQHW8
61.29629611968994%,tBLrP
61.666667461395264%,AZD1D
51.48147940635681%,pVgHM
61.666667461395264%,vgQHo
58.5185170173645%,rJ5uP
49.81481432914734%,zVPn6
55.74073791503906%,OFvjE
60.74073910713196%,RjFp4
57.40740895271301%,UVBwj
14.074073731899261%,FUFOt
61.11111044883728%,t0jaz
47.962963581085205%,rrHEr
